Date,Transaction,Name,Memo,Amount
2/27/2023,DEBIT,WHATABURGER 1089 ROGERS,55432863058205844727718; 05814;,-11.82
2/27/2023,DEBIT,PHILLIPS 66 - FAMILY S SPRINGDAL,22303793056001628069121; 05541;,-3.50
2/27/2023,DEBIT,WAL-MART #5260 ROGERS,05416013056141006295823; 05411;,-44.26
2/27/2023,DEBIT,WAL-MART #5260 ROGERS,05416013056141006296532; 05411;,-27.54
2/27/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483055710025902756; 05814;,-10.76
2/27/2023,DEBIT,WM SUPERCENTER #5837 479-254-1,05436843056400047805388; 05411;,-10.02
2/27/2023,DEBIT,AMK WALMART J STREET BENTONVIL,55436873056170560774871; 05814;,-10.59
2/27/2023,DEBIT,TCGPLAYER.COM 315501047,55429503056745062501831; 05999;,-7.65
2/27/2023,DEBIT,TCGPLAYER.COM 315501047,55429503056745056828679; 05999;,-37.09
2/24/2023,DEBIT,ATT*BILL PAYMENT 800-288-2,55432863054204970311342; 04899;,-65.95
2/24/2023,DEBIT,AMK WALMART J STREET 831-20198,55436873055160556212516; 05814;,-10.59
2/23/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483053710023652447; 05814;,-16.62
2/23/2023,DEBIT,WAL-MART #5837 ROGERS,05416013053141005445984; 05411;,-129.71
2/23/2023,DEBIT,FUZZYS TACO SHOP - ROG ROGERS,02306633054500271265695; 05814;,-11.00
2/23/2023,DEBIT,PANERA BREAD #606200 O 855-372-6,55432863054204740657628; 05814;,-23.21
2/22/2023,DEBIT,AMK WALMART J STREET 831-20198,55436873053160533777179; 05814;,-10.59
2/21/2023,DEBIT,AMK WALMART J STREET BENTONVIL,55436873052160522365375; 05814;,-5.79
2/21/2023,DEBIT,C.B. MUSEUM CULINARY BENTONVIL,55546503050750025631109; 05812;,-17.79
2/21/2023,DEBIT,GEAR GAMING BENTONVILL BENTONVIL,85179243050980007526795; 05945;,-7.65
2/21/2023,DEBIT,TCGPLAYER.COM 315501047,55429503051743323321458; 05999;,-14.12
2/21/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483049710028236987; 05814;,-10.94
2/21/2023,DEBIT,TCGPLAYER.COM 315501047,55429503049743079957849; 05999;,-62.12
2/21/2023,DEBIT,TCGPLAYER.COM 315501047,55429503050717134265543; 05999;,-11.00
2/21/2023,DEBIT,PANDA EXPRESS #2171 P 800877898,55310203050400716907522; 05814;,-12.15
2/21/2023,DEBIT,LOCAL LIME ROGERS ROGERS,55500803048200988302440; 05812;,-33.00
2/21/2023,DEBIT,WOOD STONE CRAFT PIZZA FAYETTEVI,75369433048454601309423; 05812;,-35.00
2/17/2023,DEBIT,EZ MART 4308 FAYETTEVI,22303793047001018643750; 05542;,-10.12
2/17/2023,DEBIT,GAME X CHANGE - BENTON BENTONVIL,85189933047700742069400; 05945;,-7.65
2/17/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483047710024205392; 05814;,-16.18
2/16/2023,CREDIT,TCGPLAYER.COM 315501047,55429503047745652016432; 05999;,6.50
2/16/2023,CREDIT,TCGPLAYER.COM 315501047,55429503047745652018826; 05999;,2.73
2/16/2023,DEBIT,GAMEXCHANGE ROGERS ROGERS,85189933046700755101521; 05945;,-7.64
2/16/2023,DEBIT,WAL-MART #5837 ROGERS,55483823047091005839963; 05542;,-59.24
2/16/2023,DEBIT,AMK WALMART J STREET BENTONVIL,55436873047160476714477; 05814;,-5.79
2/15/2023,DEBIT,BIG WHISKEYS BENTONVIL BENTONVIL,25247803045000896683665; 05812;,-19.00
2/15/2023,DEBIT,FAST LANE ENTERTAINMEN LOWELL,75207193045900016293486; 07933;,-4.42
2/15/2023,DEBIT,WM SUPERCENTER #1 479-636-3,05436843046400054295567; 05411;,-41.51
2/15/2023,DEBIT,AMK WALMART J STREET 831-20198,55436873046160465015473; 05814;,-9.84
2/14/2023,DEBIT,PARCHMENT-UNIV DOCS 480-719-1,55432863044202197505996; 07372;,-11.50
2/14/2023,DEBIT,TCGPLAYER.COM 315501047,55429503045717382867592; 05999;,-9.23
2/13/2023,DEBIT,WHATABURGER 1100 FAYETTEVI,55432863044201951114771; 05814;,-11.61
2/13/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483042710028503003; 05814;,-14.02
2/13/2023,DEBIT,CHICK-FIL-A #03901 ROGERS,05140483041710025562110; 05814;,-15.75
2/13/2023,DEBIT,ALLIANCE JIU JITSU OF 479402491,55546503041206851900052; 08299;,-136.03
2/13/2023,DEBIT,PlaystationNetwork San Mateo,15270213041000057756752; 05818;,-10.80
2/13/2023,DEBIT,WAL-MART #0359 FAYETTEVI,05416013041141000514391; 05411;,-75.73
