Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
bank-1-1,2023-01-03,,,XX3178 POS PURCHASE CHAN&#39;S MONGOLIAN NORTH RICHLAN TX 00005063 000036,28.8,
bank-1-2,2023-01-03,100101.0,Free Checking Bank OZK,XX3178 POS PURCHASE CHAN&#39;S MONGOLIAN NORTH RICHLAN TX 00005063 000036,,28.8
bank-1-3,2023-01-03,,,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 220781,100.0,
bank-1-4,2023-01-03,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 220781,,100.0
bank-1-5,2023-01-03,,,XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00000007 034427,1187.22,
bank-1-6,2023-01-03,100101.0,Free Checking Bank OZK,XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00000007 034427,,1187.22
bank-1-7,2023-01-05,,,EDWARD JONES INVESTMENT 34962A885055431,4287.63,
bank-1-8,2023-01-05,100101.0,Free Checking Bank OZK,EDWARD JONES INVESTMENT 34962A885055431,,4287.63
bank-1-9,2023-01-06,,,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 431256,30.0,
bank-1-10,2023-01-06,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 431256,,30.0
bank-1-11,2023-01-10,,,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 246277,65.23,
bank-1-12,2023-01-10,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 246277,,65.23
bank-1-13,2023-01-17,,,XX3178 MT DDA DEBIT VENMO* San Jose CA CNP TX 360585,180.0,
bank-1-14,2023-01-17,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT VENMO* San Jose CA CNP TX 360585,,180.0
bank-1-15,2023-01-17,100101.0,Free Checking Bank OZK,Zelle From MARISOL ANDERSON +1-800-274-4482,180.0,
bank-1-16,2023-01-17,,,Zelle From MARISOL ANDERSON +1-800-274-4482,,180.0
bank-1-17,2023-01-23,,,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 001631,20.0,
bank-1-18,2023-01-23,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 001631,,20.0
bank-1-19,2023-01-23,,,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 053779,20.0,
bank-1-20,2023-01-23,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 053779,,20.0
BEG1,2023-01-01,10101.0,Free Checking Bank OZK,Beginning Entries,16172.91,
BEG2,2023-01-01,10201.0,Investment Single Account - EdwardJones,Beginning Entries,18355.2,
BEG3,2023-01-01,10202.0,Roth IRA - EdwardJones,Beginning Entries,6415.32,
BEG4,2023-01-01,10203.0,Associate Stock Purchase Plan - Computer Share,Beginning Entries,2728.89,
BEG5,2023-01-01,10204.0,Walmart RSU Grant - Fidelity,Beginning Entries,3828.33,
BEG6,2023-01-01,10301.0,Walmart RSU Vested - Fidelity,Beginning Entries,562.47,
BEG7,2023-01-01,10302.0,Health Savings Account Cash,Beginning Entries,1000.04,
BEG8,2023-01-01,10303.0,Health Savings Account Investment,Beginning Entries,1634.47,
BEG9,2023-01-01,10304.0,Walmart Roth 401k - Merrill ,Beginning Entries,9871.78,
BEG10,2023-01-01,10305.0,Cryptocurrency,Beginning Entries,546.96,
BEG11,2023-01-01,10401.0,"Computers, Consoles, Electronics",Beginning Entries,0.0,
BEG12,2023-01-01,10402.0,Hobbies - Trading Cards,Beginning Entries,0.0,
BEG13,2023-01-01,10403.0,Hobbies - Video Games,Beginning Entries,0.0,
BEG14,2023-01-01,10404.0,Fire Arms,Beginning Entries,0.0,
BEG15,2023-01-01,10405.0,Jewelry,Beginning Entries,0.0,
BEG16,2023-01-01,20101.0,EdwardJones MasterCard,Beginning Entries,0.0,
BEG17,2023-01-01,30101.0,Tony's Equity,Beginning Entries,,61116.37
creditcard-1-1,2023-01-03,600602.0,Hobbies - Jiu Jitsu,SCHOOLS AND EDUCATIONAL SERVICES (NEC): ALLIANCE JIU JITSU OF 479402491,131.7,
creditcard-1-2,2023-01-03,200101.0,EdwardJones MasterCard,SCHOOLS AND EDUCATIONAL SERVICES (NEC): ALLIANCE JIU JITSU OF 479402491,,131.7
creditcard-1-3,2023-01-03,600802.0,Car Expense - Professional Service,PROFESSIONAL SERVICES (NEC): SQ *PRAIRIE ROSE TATTO LEWISVILL,207.5,
creditcard-1-4,2023-01-03,200101.0,EdwardJones MasterCard,PROFESSIONAL SERVICES (NEC): SQ *PRAIRIE ROSE TATTO LEWISVILL,,207.5
creditcard-1-5,2023-01-03,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,46.63,
creditcard-1-6,2023-01-03,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,46.63
creditcard-1-7,2023-01-03,600301.0,Utilities,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES: MDC*CARROLL ECC AR BERRYVILL",89.86,
creditcard-1-8,2023-01-03,200101.0,EdwardJones MasterCard,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES: MDC*CARROLL ECC AR BERRYVILL",,89.86
creditcard-1-9,2023-01-04,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,21.21,
creditcard-1-10,2023-01-04,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,21.21
creditcard-1-11,2023-01-09,600201.0,Gas - AUTOMATED FUEL DISPENSERS,AUTOMATED FUEL DISPENSERS: LOVE'S #255 WEBBERS FA,44.26,
creditcard-1-12,2023-01-09,200101.0,EdwardJones MasterCard,AUTOMATED FUEL DISPENSERS: LOVE'S #255 WEBBERS FA,,44.26
creditcard-1-13,2023-01-09,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: SONIC DRIVE IN #1496 ATOKA,11.57,
creditcard-1-14,2023-01-09,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: SONIC DRIVE IN #1496 ATOKA,,11.57
creditcard-1-15,2023-01-10,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART DGTC 831-20198,5.79,
creditcard-1-16,2023-01-10,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART DGTC 831-20198,,5.79
creditcard-1-17,2023-01-10,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #0001 ROGERS,198.31,
creditcard-1-18,2023-01-10,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #0001 ROGERS,,198.31
creditcard-1-19,2023-01-10,600201.0,Gas - AUTOMATED FUEL DISPENSERS,AUTOMATED FUEL DISPENSERS: RACETRAC 656 00006569 KELLER,22.53,
creditcard-1-20,2023-01-10,200101.0,EdwardJones MasterCard,AUTOMATED FUEL DISPENSERS: RACETRAC 656 00006569 KELLER,,22.53
creditcard-1-21,2023-01-10,601003.0,Misc - Discount Store,DISCOUNT STORES: MARSHALLS #1195 ROGERS,54.74,
creditcard-1-22,2023-01-10,200101.0,EdwardJones MasterCard,DISCOUNT STORES: MARSHALLS #1195 ROGERS,,54.74
creditcard-1-23,2023-01-10,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,1.92,
