Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
bank-2-21,2023-02-01,,,XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00001000 015442,1249.7,
bank-2-22,2023-02-01,100101.0,Free Checking Bank OZK,XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00001000 015442,,1249.7
bank-2-23,2023-02-21,,,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 033331,20.0,
bank-2-24,2023-02-21,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 033331,,20.0
bank-2-25,2023-02-22,,,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 000314,20.0,
bank-2-26,2023-02-22,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 000314,,20.0
creditcard-2-113,2023-02-02,200101.0,EdwardJones MasterCard,PAYMENT THANK YOU: PAYMENT THANK YOU,1934.06,
creditcard-2-114,2023-02-02,100101.0,Free Checking Bank OZK,PAYMENT THANK YOU: PAYMENT THANK YOU,,1934.06
creditcard-2-115,2023-02-02,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,26.34,
creditcard-2-116,2023-02-02,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,,26.34
creditcard-2-117,2023-02-03,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,14.94,
creditcard-2-118,2023-02-03,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,14.94
creditcard-2-119,2023-02-03,600602.0,Hobbies - Jiu Jitsu,SCHOOLS AND EDUCATIONAL SERVICES (NEC): ALLIANCE JIU JITSU OF 479402491,131.7,
creditcard-2-120,2023-02-03,200101.0,EdwardJones MasterCard,SCHOOLS AND EDUCATIONAL SERVICES (NEC): ALLIANCE JIU JITSU OF 479402491,,131.7
creditcard-2-121,2023-02-06,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #5837 479-254-1,11.8,
creditcard-2-122,2023-02-06,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #5837 479-254-1,,11.8
creditcard-2-123,2023-02-06,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,126.47,
creditcard-2-124,2023-02-06,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,,126.47
creditcard-2-125,2023-02-06,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: PANERA BREAD #606200 O 855-372-6,33.83,
creditcard-2-126,2023-02-06,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: PANERA BREAD #606200 O 855-372-6,,33.83
creditcard-2-127,2023-02-06,600301.0,Utilities,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES: MDC*CARROLL ECC AR BERRYVILL",95.98,
creditcard-2-128,2023-02-06,200101.0,EdwardJones MasterCard,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES: MDC*CARROLL ECC AR BERRYVILL",,95.98
creditcard-2-129,2023-02-06,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHIPOTLE ONLINE 949524400,22.85,
