Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
bank-1-1,2023-01-03,,,XX3178 POS PURCHASE CHAN&#39;S MONGOLIAN NORTH RICHLAN TX 00005063 000036,28.8,
bank-1-2,2023-01-03,100101.0,Free Checking Bank OZK,XX3178 POS PURCHASE CHAN&#39;S MONGOLIAN NORTH RICHLAN TX 00005063 000036,,28.8
bank-1-3,2023-01-03,,,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 220781,100.0,
bank-1-4,2023-01-03,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 220781,,100.0
bank-1-5,2023-01-03,,,XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00000007 034427,1187.22,
bank-1-6,2023-01-03,100101.0,Free Checking Bank OZK,XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00000007 034427,,1187.22
bank-1-7,2023-01-05,100101.0,Free Checking Bank OZK,WAL-MART ASSOCS. PAYROLL XXXXXX3311,1712.29,
bank-1-8,2023-01-05,,,WAL-MART ASSOCS. PAYROLL XXXXXX3311,,1712.29
bank-1-9,2023-01-05,,,EDWARD JONES INVESTMENT 34962A885055431,4287.63,
bank-1-10,2023-01-05,100101.0,Free Checking Bank OZK,EDWARD JONES INVESTMENT 34962A885055431,,4287.63
bank-1-11,2023-01-06,,,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 431256,30.0,
bank-1-12,2023-01-06,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 431256,,30.0
bank-1-13,2023-01-10,,,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 246277,65.23,
bank-1-14,2023-01-10,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT VENMO* Visa Direct NY CNP TX 246277,,65.23
bank-1-15,2023-01-17,,,XX3178 MT DDA DEBIT VENMO* San Jose CA CNP TX 360585,180.0,
bank-1-16,2023-01-17,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT VENMO* San Jose CA CNP TX 360585,,180.0
bank-1-17,2023-01-17,100101.0,Free Checking Bank OZK,Zelle From MARISOL ANDERSON +1-800-274-4482,180.0,
bank-1-18,2023-01-17,,,Zelle From MARISOL ANDERSON +1-800-274-4482,,180.0
bank-1-19,2023-01-19,100101.0,Free Checking Bank OZK,WAL-MART ASSOCS. PAYROLL XXXXXX3311,1711.34,
bank-1-20,2023-01-19,,,WAL-MART ASSOCS. PAYROLL XXXXXX3311,,1711.34
bank-1-21,2023-01-23,,,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 001631,20.0,
bank-1-22,2023-01-23,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 001631,,20.0
bank-1-23,2023-01-23,,,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 053779,20.0,
bank-1-24,2023-01-23,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 053779,,20.0
