Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
creditcard-1-1,2023-01-03,600602,Hobbies - Jiu Jitsu,SCHOOLS AND EDUCATIONAL SERVICES (NEC): ALLIANCE JIU JITSU OF 479402491,131.7,
creditcard-1-2,2023-01-03,200101,EdwardJones MasterCard,SCHOOLS AND EDUCATIONAL SERVICES (NEC): ALLIANCE JIU JITSU OF 479402491,,131.7
creditcard-1-3,2023-01-03,600802,Car Expense - Professional Service,PROFESSIONAL SERVICES (NEC): SQ *PRAIRIE ROSE TATTO LEWISVILL,207.5,
creditcard-1-4,2023-01-03,200101,EdwardJones MasterCard,PROFESSIONAL SERVICES (NEC): SQ *PRAIRIE ROSE TATTO LEWISVILL,,207.5
creditcard-1-5,2023-01-03,600601,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,46.63,
creditcard-1-6,2023-01-03,200101,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,46.63
creditcard-1-7,2023-01-03,600301,Utilities,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES: MDC*CARROLL ECC AR BERRYVILL",89.86,
creditcard-1-8,2023-01-03,200101,EdwardJones MasterCard,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES: MDC*CARROLL ECC AR BERRYVILL",,89.86
creditcard-1-9,2023-01-04,600601,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,21.21,
creditcard-1-10,2023-01-04,200101,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,21.21
creditcard-1-11,2023-01-09,600201,Gas - AUTOMATED FUEL DISPENSERS,AUTOMATED FUEL DISPENSERS: LOVE'S #255 WEBBERS FA,44.26,
creditcard-1-12,2023-01-09,200101,EdwardJones MasterCard,AUTOMATED FUEL DISPENSERS: LOVE'S #255 WEBBERS FA,,44.26
