Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
bank-2-25,2023-02-01,,,XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00001000 015442,1249.7,
bank-2-26,2023-02-01,100101.0,Free Checking Bank OZK,XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00001000 015442,,1249.7
bank-2-27,2023-02-02,100101.0,Free Checking Bank OZK,WAL-MART ASSOCS. PAYROLL XXXXXX3311,1711.21,
bank-2-28,2023-02-02,,,WAL-MART ASSOCS. PAYROLL XXXXXX3311,,1711.21
bank-2-29,2023-02-03,,,CARDMEMBER SERV WEB PYMT ***********9257,1934.06,
bank-2-30,2023-02-03,100101.0,Free Checking Bank OZK,CARDMEMBER SERV WEB PYMT ***********9257,,1934.06
bank-2-31,2023-02-16,100101.0,Free Checking Bank OZK,WAL-MART ASSOCS. PAYROLL XXXXXX3311,1711.23,
bank-2-32,2023-02-16,,,WAL-MART ASSOCS. PAYROLL XXXXXX3311,,1711.23
bank-2-33,2023-02-21,,,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 033331,20.0,
bank-2-34,2023-02-21,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 033331,,20.0
bank-2-35,2023-02-22,,,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 000314,20.0,
bank-2-36,2023-02-22,100101.0,Free Checking Bank OZK,XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 000314,,20.0
