Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
ps-2-29,2023-02-02,100101.0,Free Checking Bank OZK,Cash from paystub,1711.2099999999998,
ps-2-30,2023-02-02,100202.0,Associate Stock Purchase Plan - Computer Share,STOCK PURCH,70.00,
ps-2-31,2023-02-02,100202.0,Associate Stock Purchase Plan - Computer Share,CO STK CONT,10.50,
ps-2-32,2023-02-02,100305.0,Walmart Roth 401k - Merrill ,ROTH 401K,274.62,
ps-2-33,2023-02-02,100304.0,Health Savings Account Investment,HSA CONTR *,50.00,
ps-2-34,2023-02-02,500201.0,Federal Income Tax,FEDERAL TAX,287.26,
ps-2-35,2023-02-02,500202.0,Social Security Tax,SOCIAL SECURITY,164.85,
ps-2-36,2023-02-02,500203.0,Medicare Tax,MEDICARE,38.56,
ps-2-37,2023-02-02,500204.0,State Income Tax,ARKANSAS,101.80,
ps-2-38,2023-02-02,500101.0,Medical Insurance,INS MED U *,36.80,
ps-2-39,2023-02-02,500102.0,Dental Insurance,INS DEN U *,8.30,
ps-2-40,2023-02-02,500103.0,Vision Insurance,INS VIS *,2.76,
ps-2-41,2023-02-02,400101.0,Regular Earnings - Walmart Salary,REGULAR,,"2,746.16"
ps-2-42,2023-02-02,400103.0,Walmart Stock Match,CO STK,,10.50
ps-2-43,2023-02-16,100101.0,Free Checking Bank OZK,Cash from paystub,1711.2299999999998,
ps-2-44,2023-02-16,100202.0,Associate Stock Purchase Plan - Computer Share,STOCK PURCH,70.00,
ps-2-45,2023-02-16,100202.0,Associate Stock Purchase Plan - Computer Share,CO STK CONT,10.50,
ps-2-46,2023-02-16,100305.0,Walmart Roth 401k - Merrill ,ROTH 401K,274.62,
ps-2-47,2023-02-16,100304.0,Health Savings Account Investment,HSA CONTR *,50.00,
ps-2-48,2023-02-16,500201.0,Federal Income Tax,FEDERAL TAX,287.26,
ps-2-49,2023-02-16,500202.0,Social Security Tax,SOCIAL SECURITY,164.84,
ps-2-50,2023-02-16,500203.0,Medicare Tax,MEDICARE,38.55,
ps-2-51,2023-02-16,500204.0,State Income Tax,ARKANSAS,101.80,
ps-2-52,2023-02-16,500101.0,Medical Insurance,INS MED U *,36.80,
ps-2-53,2023-02-16,500102.0,Dental Insurance,INS DEN U *,8.30,
ps-2-54,2023-02-16,500103.0,Vision Insurance,INS VIS *,2.76,
ps-2-55,2023-02-16,400101.0,Regular Earnings - Walmart Salary,REGULAR,,"2,746.16"
ps-2-56,2023-02-16,400103.0,Walmart Stock Match,CO STK,,10.50
