MCC,Description
11,COMMERCE BANK ODP
701,POSTAGE TRANSACTION CHARGE
742,VETERINARY SERVICES
763,AGRICULTURAL COOPERATIVES
780,LANDSCAPE AND HORTICULTURAL SERVICES
1520,GENERAL CONTRACTORS - RESIDENTIAL BUILDINGS
1711,"A/C, HEATING OR PLUMBING CONTRACTORS - SALES & INSTALLATION"
1731,ELECTRICAL CONTRACTORS
1740,"MASONRY, STONEWORK, TILE SETTING, PLASTERING"
1750,CARPENTRY
1761,"ROOFING, SHEET METAL WORK, OR SIDING -- CONTRACTORS"
1771,CONTRACTORS -- CONCRETE WORK
1799,SPECIAL TRADE CONTRACTORS
2741,MISCELLANEOUS PUBLISHING AND PRINTING
2791,"TYPESETTING, PLATE MAKING AND RELATED SERVICES"
2842,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPS"
3000,UNITED AIRLINES
3001,AMERICAN AIRLINES
3002,PAN AMERICAN
3003,EUROFLY AIRLINES
3004,DRAGONAIR
3005,BRITISH AIRWAYS
3006,JAPAN AIRLINES
3007,AIR FRANCE
3008,LUFTHANSA
3009,AIR CANADA
3010,KLM (ROYAL DUTCH AIRLINES)
3011,AEROFLOT
3012,QANTAS
3013,ALITALIA
3014,SAUDI ARABIAN AIRLINES
3015,SWISS INTERNATIONAL AIRLINES - SWISS AIR
3016,SAS
3017,SOUTH AFRICAN AIRWAYS
3018,VARIG AIR (BRAZIL)
3019,GERMANWINGS - GRMNWGAIR
3020,AIR INDIA
3021,AIR ALGERIE
3022,PAL AIR
3023,MEXICANA
3024,PAKISTAN INTERNATIONAL
3025,AIR NEW ZEALAND
3026,EMIRATES AIRLINES
3027,UTA/INTERAIR
3028,AIR MALTA
3029,SN BRUSSELS AIRLINES - SNBRU AIR
3030,AEROLINEAS ARGENTINAS
3031,OLYMPIC AIRWAYS
3032,EL AL
3033,ANSETT AIRLINES
3034,TRANS AUSTRAILIAN AIRWAYS (TAA)
3035,TAP (PORTUGAL)
3036,VASP (BRAZIL)
3037,EGYPTAIR
3038,KUWAIT AIRWAYS
3039,AVIANCA
3040,GULF AIR (BAHRAIN)
3041,BALKAN-BULGARIAN AIRLINES
3042,FINNAIR
3043,AER LINGUS
3044,AIR LANKA
3045,NIGERIA AIRWAYS
3046,CRUZEIRO DO SUL (BRAZIL)
